title,link,price,rank
A Light in the Attic,a-light-in-the-attic_1000/index.html,51.77,3
Tipping the Velvet,tipping-the-velvet_999/index.html,53.74,1
Soumission,soumission_998/index.html,50.1,1
Sharp Objects,sharp-objects_997/index.html,47.82,4
Sapiens: A Brief History of Humankind,sapiens-a-brief-history-of-humankind_996/index.html,54.23,5
The Requiem Red,the-requiem-red_995/index.html,22.65,1
The Dirty Little Secrets of Getting Your Dream Job,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.6,4
The Black Maria,the-black-maria_991/index.html,52.15,1
"Starving Hearts (Triangular Trade Trilogy, #1)",starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,2
Shakespeare's Sonnets,shakespeares-sonnets_989/index.html,20.66,4
Set Me Free,set-me-free_988/index.html,17.46,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,5
Rip it Up and Start Again,rip-it-up-and-start-again_986/index.html,35.02,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,3
Olio,olio_984/index.html,23.88,1
Mesaerion: The Best Science Fiction Stories 1800-1849,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,1
Libertarianism for Beginners,libertarianism-for-beginners_982/index.html,51.33,2
It's Only the Himalayas,its-only-the-himalayas_981/index.html,45.17,2
In Her Wake,in-her-wake_980/index.html,12.84,1
How Music Works,how-music-works_979/index.html,37.32,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,30.52,3
Chase Me (Paris Nights #2),chase-me-paris-nights-2_977/index.html,25.27,5
Black Dust,black-dust_976/index.html,34.53,5
Birdsong: A Story in Pictures,birdsong-a-story-in-pictures_975/index.html,54.64,3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,22.5,3
Aladdin and His Wonderful Lamp,aladdin-and-his-wonderful-lamp_973/index.html,53.13,3
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,40.3,5
Wall and Piece,wall-and-piece_971/index.html,44.18,4
The Four Agreements: A Practical Guide to Personal Freedom,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,17.66,5
